genres,popularity
basshall,80.66666666666666
turkish edm,80.0
south african house,80.0
trap venezolano,80.0
alberta hip hop,78.5
chinese electropop,78.5
afroswing,77.3125
afro soul,77.0
russian dance,77.0
guaracha,77.0
indie triste,77.0
circuit,77.0
uk diy punk,77.0
pagode baiano,76.66666666666667
ritmo kombina,76.33333333333333
trap triste,76.08333333333334
norwegian pop rap,76.0
urbano espanol,75.25
musica canaria,75.16666666666667
argentine hip hop,74.97916666666667
rhode island rap,74.36363636363636
guatemalan pop,74.0
trap chileno,74.0
rock chapin,74.0
deep dance pop,73.5
chinese hip hop,73.0
chinese idol pop,73.0
korean mask singer,73.0
funk pop,72.8888888888889
birmingham grime,72.66666666666666
south african pop dance,72.5
trap argentino,72.2777777777778
japanese indie rock,72.0
hong kong hip hop,72.0
reggaeton mexicano,72.0
dutch hip hop,71.5
modern indie pop,71.31770833333333
london rap,71.25
funk das antigas,71.0
german pop rock,70.4
r&b en espanol,70.26190476190476
gqom,70.2
dong-yo,70.0
swedish dancehall,70.0
kentucky hip hop,69.80293843283582
musical advocacy,69.75
german dance,69.43666666666667
indonesian r&b,69.33333333333333
irish indie,69.0
deep flow,69.0
lo-fi house,69.0
funk paulista,69.0
channel islands indie,68.5
swedish indie folk,68.48148148148148
venezuelan hip hop,67.88304093567253
uk funky,67.67171717171719
scandipop,67.49893162393164
pop nacional,67.47916666666667
dutch rap pop,67.26666666666667
instrumental grime,67.26666666666667
modern alternative pop,67.1025641025641
indonesian hip hop,67.0909090909091
uk house,67.0
zimdancehall,67.0
cambridgeshire indie,67.0
lo-fi cover,67.0
experimental house,67.0
jordanian pop,67.0
german underground rap,67.0
irish hip hop,66.8
spanish hip hop,66.66666666666667
scandinavian r&b,66.66666666666667
pakistani hip hop,66.66666666666667
alte,66.0
wave,66.0
nordic house,65.93333333333332
buffalo hip hop,65.75
viral rap,65.67477567582057
shush,65.66666666666667
newcastle nsw indie,65.5
belarusian indie,65.5
sovietwave,65.5
spanish indie pop,65.4
german house,65.33333333333333
brooklyn drill,65.26069347319347
uk dance,65.09895631188733
bedroom pop,65.02013746890697
j-dance,65.0
spanish modern rock,65.0
spanish noise pop,65.0
swedish eurodance,65.0
concepcion indie,65.0
musica afroperuana,65.0
k-pop girl group,64.87079304029302
arkansas hip hop,64.83333333333333
white noise,64.79938271604938
viral trap,64.71428571428572
lo-fi chill,64.47568922305766
norwegian indie,64.41690408357076
south african pop,64.35714285714286
electronica argentina,64.33333333333333
indie rockism,64.3
boston indie,64.22999999999999
sad rap,64.05031639082733
indie rock mexicano,64.0
gujarati pop,64.0
tamaulipas rap,64.0
colombian pop,63.73855681074242
south african hip hop,63.66666666666667
rap dominicano,63.6326530612245
k-pop,63.556654131282464
punk rock mexicano,63.4
emo mexicano,63.4
swedish soul,63.33333333333334
cumbia pop,63.33333333333334
corridos tumbados,63.2360710855315
mexican pop punk,63.2
orlando indie,63.14285714285714
nz pop,63.133853151397005
meme rap,63.10920205920207
trap latino,63.06214302605
australian alternative pop,63.04347826086956
tamaulipas indie,63.0
derby indie,63.0
swedish tropical house,63.0
latincore,63.0
asmr,63.0
uk pop,62.91493941050029
baltimore hip hop,62.83333333333334
edmonton indie,62.81159420289856
pop argentino,62.75
rochester mn indie,62.5
deep pop edm,62.5
glitchcore,62.48456790123456
destroy techno,62.47727272727272
dmv rap,62.42988641438132
manchester hip hop,62.33333333333334
australian r&b,62.25
norwegian pop,62.232575757575766
pinoy indie,62.16666666666666
oc rap,62.11111111111112
dembow,62.10714285714286
classical accordion,62.0
acid trance,62.0
norwegian hip hop,62.0
italian contemporary jazz,62.0
uk hip hop,61.91776556776558
veracruz indie,61.85714285714285
asian american hip hop,61.84761904761905
shimmer psych,61.8
background music,61.71527777777778
indie cafe pop,61.645317889205714
rebel blues,61.54933333333334
traprun,61.51666666666666
scam rap,61.5
tropical house,61.45164257929336
francoton,61.40634920634921
reggaeton flow,61.38068295494008
mindfulness,61.375
swedish electronic,61.33333333333334
swedish house,61.33333333333334
oakland indie,61.21666666666667
emo rap,61.14565929487325
vapor trap,61.005850379953536
experimental folk,61.0
j-division,61.0
slavic folk metal,61.0
korean trap,61.0
hamburg electronic,61.0
canadian house,61.0
virgin islands reggae,61.0
rock gaucho,61.0
guam indie,61.0
j-acoustic,61.0
australian indie rock,61.0
pop rock brasileiro,61.0
perth indie,61.0
social media pop,60.8207545241012
pop,60.74590869085365
irish pop,60.685
nz reggae,60.66666666666666
witch house,60.64444444444445
melodic rap,60.61712432647079
peruvian hip hop,60.5
electro-pop francais,60.5
trap mexicano,60.5
indian folk,60.5
brisbane indie,60.5
neo-singer-songwriter,60.41666666666666
spa,60.4
j-pixie,60.4
sierreno,60.39046831562891
bergen indie,60.35185185185186
nyc rap,60.3475474987975
scottish singer-songwriter,60.344444444444434
trap queen,60.334499755810825
rock brasiliense,60.33333333333334
finnish alternative rock,60.33333333333334
vgm remix,60.33333333333334
reggaeton,60.30828412762394
pop soul,60.30357142857143
argentine reggae,60.27777777777778
italo dance,60.27777777777778
charlotte nc indie,60.25
japanese alternative rock,60.25
kawaii metal,60.25
electronic djent,60.25
alt-idol,60.25
indie psych-pop,60.22222222222222
uk dancehall,60.17142857142856
uk contemporary r&b,60.15998217468806
aussietronica,60.096153846153854
cumbia santafesina,60.0
icelandic electronic,60.0
birmingham hip hop,60.0
san antonio rap,60.0
canadian modern jazz,60.0
tulsa indie,60.0
lo-fi vgm,60.0
melodic power metal,60.0
j-rock,59.99938725490196
reggaeton colombiano,59.91396848637414
idol rock,59.875
viral pop,59.81194581506092
water,59.77380952380952
german trance,59.75
saskatchewan indie,59.718954248366025
taiwan classical performance,59.66666666666666
danish pop,59.650793650793645
san diego indie,59.64814814814815
japanese electropop,59.625
electro latino,59.55921978759
australian talent show,59.5
pop folk,59.45384615384616
chicago drill,59.376066252588
bass trap,59.36053113553113
spanish folk metal,59.28571428571429
australian reggae fusion,59.26000000000001
lullaby,59.14847494553378
future house,59.1
montreal indie,59.08333333333334
anime rock,59.07222222222222
la pop,59.06001221001221
environmental,59.05950725744842
dark trap,59.02043265848664
marathi pop,59.0
brain waves,59.0
musica paraibana,59.0
argentine telepop,59.0
pianissimo,59.0
binaural,59.0
west virginia indie,59.0
vermont indie,59.0
nyc pop,58.993434343434345
k-pop boy group,58.94349567784104
abstract beats,58.93333333333332
gaming edm,58.91857993197278
cincinnati rap,58.83333333333334
lo-fi beats,58.8258451472192
vapor soul,58.78218525189328
sound,58.759615384615394
cumbia villera,58.75
pop dance,58.691473544350345
indie anthem-folk,58.5424066924067
french indietronica,58.5
polynesian hip hop,58.5
swedish country,58.5
drill,58.48919214843128
