name,id,artists,Assignments
Kolmas pyörä vaan,0QbZI8ohTHrz3DnQht89BC,['Iiro Rantala'],0
Casser la voix,0cp8Fd3p8oMbTBv1s6MmrK,['Patrick Bruel'],0
Vindsins litadýrð,7i6hHzzXR79Dj4cRouD1uI,['Margrét Eir'],0
Miért Van?! - Hosszú Dala,6vnvNUk2Zg6xIVjRFFhH7P,"['Péter Szolnoki', 'László Dés']",0
בתוך הצינורות,76iU2lveGJHtkOPJ3ndYwO,['Algeir'],0
Así de Fácil,53oMe1sD4qdnisSemsJNpy,['Marisela'],0
Eroare,1hBYfZ6c2jQsod4T7ZDqdw,"['Deliric', 'Silent Strike']",0
事後,2BRaSKeYrwcIbsv6k3pQHH,['Prudence Liew'],0
House Every Weekend - Radio Edit,2rWisQk9hxSap9ZtTx45sv,['David Zowie'],0
Screaming Infidelities,4xRrwdnxvwAPLnPU143uMq,['Dashboard Confessional'],0
Moh Moh Ke Dhaage (Female),7uubRr0u9Zxc1Y84hEn7Xf,"['Anu Malik', 'Monali Thakur', 'Varun Grover']",1
Turunen : Me käymme joulun viettohon,7yyGiFNGY6jXWoikiwtMw7,"['Soile Isokoski', 'Ilkka Kuusisto', 'Finlandia Sinfonietta']",1
Make Me Human,2KkG895rY1cWOJSUBecUKk,['Monique'],1
Quand l'enfant viendra,1HPHmJmURs12fZm5mibSUc,['Pierre Bachelet'],1
Gaîté Parisienne: Barcarolle,5W0loesUrE0WM2F2BnWRL4,"['Manuel Rosenthal', 'Leonard Bernstein', 'New York Philharmonic']",1
Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,['Neil Diamond'],1
ไม่เป็นอะไร,0u4J2N2zAvHaFjRQtsnjCe,['Pramote Vilepana'],1
位置,7AiLSNuwIyeaqrHeT2RptO,['A-Lin'],1
Release,1DkwT6raJxACzdcWLviVJK,['Imagine Dragons'],1
Dilemma,5MZYOtR8fcaZoWzweBNdMm,"['Brandon Chase', 'Taylor Manns']",1
Blueberry Sky,3FiGa9tiLUaK8nTI35VyY8,['Light & Love'],2
Senta com Amor,1kjMT9xY7fsPCbOY9glt96,"['MC Kevinho', 'Zé Felipe']",2
Al Que Le Pique,3rHdsROdo2VVY3NUoQihT2,['El Prodigio'],2
Liebes Lied,6YzYyeMV5MY7wHOGskZdzf,['Beginner'],2
Ya No Te Creo Nada,0lvQMReLRBxd96RseJSuZm,['Frank Reyes'],2
Best Of - Easy Mix,2Qmoo7tZbZzEDXAJk43jCv,['Zoltán Erika'],2
It Gets Better,37fcWY6jWI0xrHiuBhahGl,['Keith Sweat'],2
Meltinpot,30EohocDkQEfXsE3pyEa7J,['Gazzelle'],2
Hou My Stywer Vas,1H4kocyUNCJLLanFSbGuSr,['Snotkop'],2
