,Unnamed: 0,Key,MusicalKey,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
1233,1233,0,C,0.6629999999999999,1969,0.201,['Creedence Clearwater Revival'],0.64,140773,0.6629999999999999,0,4BP3uh0hFLFRb5cjsgLqDh,0.00806,0.152,-7.516,1,Fortunate Son,81,1969-11-02,0.0374,132.77
1445,1445,0,C,0.789,1977,0.0644,['Fleetwood Mac'],0.828,257800,0.4920000000000001,0,0ofHAoxe9vBkTCp2UQIavz,0.00428,0.128,-9.744,1,Dreams - 2004 Remaster,89,1977-02-04,0.0276,120.151
1619,1619,0,C,0.875,1983,0.225,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",0.6920000000000001,216933,0.711,0,1TfqLAPs4K3s2rJMoCokcS,0.0,0.12,-7.497999999999997,0,Sweet Dreams (Are Made of This) - Remastered,81,1983-01-04,0.0317,125.135
1687,1687,0,C,0.795,1986,0.0778,['Bon Jovi'],0.532,249293,0.887,0,37ZJ0p5Jm13JPevGcx4SkF,0.000214,0.294,-3.757,1,Livin' On A Prayer,83,1986-08-16,0.0335,122.511
1688,1688,0,C,0.812,1986,0.0663,['Bon Jovi'],0.541,222707,0.96,0,0rmGAIH9LNJewFw7nKzZnc,2.25e-06,0.344,-2.947,0,You Give Love A Bad Name,80,1986-08-16,0.0505,122.803
2062,2062,0,C,0.465,2002,0.228,['Maroon 5'],0.6509999999999999,259453,0.6629999999999999,0,4llK75pXNWZz6KAho2Gp16,0.0,0.0994,-5.569,0,She Will Be Loved - Radio Mix,80,2002,0.0281,102.0
2083,2083,0,C,0.321,2003,0.00817,['The White Stripes'],0.726,231733,0.463,0,3dPQuX8Gs42Y7b454ybpMR,0.447,0.255,-7.8279999999999985,1,Seven Nation Army,80,2003-04-01,0.0799,123.881
2218,2218,0,C,0.7140000000000001,2009,0.00314,['Lady Gaga'],0.696,294573,0.921,1,0SiywuOBRcynK0uKGWdCnn,5.24e-05,0.0842,-3.755,1,Bad Romance,80,2009-11-05,0.0363,119.001
2292,2292,0,C,0.387,2012,0.932,['Bruno Mars'],0.612,213827,0.28,0,0nJW01T7XtvILxQgC5J7Wh,0.0,0.08800000000000001,-8.648,1,When I Was Your Man,83,2012-12-07,0.0434,72.795
2318,2318,0,C,0.162,2013,0.172,['Kodaline'],0.209,305747,0.412,0,0NlGoUyOJSuSHmngoibVAs,0.15,0.0843,-9.733,1,All I Want,83,2013-06-17,0.0443,86.26
2319,2319,0,C,0.7659999999999999,2013,0.000176,['Capital Cities'],0.655,192790,0.8190000000000001,0,6Z8R6UsFuGXGtiIxiD8ISb,0.00374,0.104,-4.852,1,Safe And Sound,80,2013,0.0316,117.956
2337,2337,0,C,0.184,2014,0.588,['Sam Smith'],0.418,172724,0.42,0,5Nm9ERjJZ5oyfXZTECKmRt,6.39e-05,0.11,-6.444,1,Stay With Me,82,2014-05-26,0.0414,84.094
2338,2338,0,C,0.37,2014,0.746,['Alex & Sierra'],0.5,185200,0.292,0,1almCHdsfikRPfVB9VrEdT,0.0,0.188,-8.554,1,Little Do You Know,80,2014-10-06,0.0323,145.879
2352,2352,0,C,0.13699999999999998,2015,0.0671,['The Weeknd'],0.585,242253,0.564,1,7fBv7CLKzipRk6EC6TWHOB,0.0,0.135,-7.063,0,The Hills,83,2015-08-28,0.0515,113.003
2353,2353,0,C,0.928,2015,0.00801,"['Mark Ronson', 'Bruno Mars']",0.856,269667,0.609,0,32OlwWuMpZ6b0aN2RZOeMS,8.149999999999999e-05,0.0344,-7.223,1,Uptown Funk (feat. Bruno Mars),82,2015-01-12,0.0824,114.988
2358,2358,0,C,0.417,2015,0.4,"['Meghan Trainor', 'John Legend']",0.63,225053,0.53,0,2YlZnw2ikdb837oKMKjBkW,0.0,0.177,-7.258999999999999,1,Like I'm Gonna Lose You (feat. John Legend),80,2015-01-09,0.0434,108.038
2359,2359,0,C,0.41,2015,0.0797,['Justin Bieber'],0.654,200787,0.76,0,09CtPGIpYB4BrO8qb1RGsF,0.0,0.299,-3.669,0,Sorry,82,2015-11-13,0.045,99.945
2361,2361,0,C,0.595,2015,0.109,['One Direction'],0.73,192120,0.703,0,2K87XMYnUMqLcX3zvtAF4G,0.0,0.0657,-5.6720000000000015,0,Drag Me Down,81,2015-11-13,0.0369,138.113
2381,2381,0,C,0.488,2016,0.245,['Ricky Montgomery'],0.639,216880,0.526,0,0MF5QHFzTUM2dYm6J7Vngt,2.43e-05,0.25,-6.697,1,Mr Loverman,82,2016-04-08,0.0256,130.033
2382,2382,0,C,0.226,2016,0.787,['Post Malone'],0.412,257267,0.227,1,35r28RDot7nPE7y9K9H7l0,4.69e-06,0.282,-12.696,1,Feeling Whitney,80,2016-12-09,0.0359,80.111
2406,2406,0,C,0.4370000000000001,2017,0.469,['XXXTENTACION'],0.872,119133,0.391,1,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0.297,-9.144,0,Jocelyn Flores,87,2017-08-25,0.242,134.02100000000002
2407,2407,0,C,0.329,2017,0.0172,"['XXXTENTACION', 'Trippie Redd']",0.797,146520,0.5329999999999999,1,7AQim7LbvFVZJE3O8TYgf2,0.000152,0.103,-9.74,0,Fuck Love (feat. Trippie Redd),84,2017-08-25,0.0412,131.036
2408,2408,0,C,0.473,2017,0.8740000000000001,['Frank Ocean'],0.7759999999999999,210285,0.503,1,6Nle9hKrkL1wQpwNfEkxjh,0.0,0.112,-5.732,0,Chanel,81,2017-03-10,0.237,110.134
2409,2409,0,C,0.695,2017,0.593,['Clairo'],0.93,178352,0.611,0,0KyAGiNGUytG5JLxJu4F6l,0.00124,0.0592,-4.4060000000000015,1,Pretty Girl,80,2017-08-04,0.0415,112.127
2410,2410,0,C,0.28800000000000003,2017,0.00671,['Imagine Dragons'],0.605,187147,0.8220000000000001,0,1zB4vmk8tFRmM9UULNzbLB,0.134,0.147,-4.833,1,Thunder,84,2017-06-23,0.0438,167.997
2412,2412,0,C,0.236,2017,0.536,['Ed Sheeran'],0.522,207520,0.385,0,2RttW7RAu5nOAfq6YFvApB,0.0,0.135,-7.355,1,Happier,82,2017-03-03,0.0288,89.792
